product_id,product_name,product_price,product_rating,product_seller,offer_price,stock_quantity,product_category,product_tags
9a289afb-55d5-4c49-a4f8-7748ac5146af,Stainless Steel Knife Set - Compact,423.27,3.8,Anderson LLC,365.56,528,Home & Kitchen,"{knife,steel,set,compact,stainless,home,&,kitchen}"
f45c135e-91d2-4162-9eb0-69f718b281a5,Portable Fire Pit,28.34,3.0,Hudson-Gonzalez,,951,Outdoors,"{pit,outdoors,portable,fire}"
9e2c69a2-878a-40e5-921e-d42d8b51fce2,Wrist Support Brace Pro,178.51,1.9,"Jimenez, Moreno and Velasquez",145.68,489,Health,"{pro,support,health,brace,wrist}"
52524b09-a349-4322-ab99-31c43567ccb9,Scented Candles Mini,140.45,4.7,Johnson and Sons,131.29,201,Home & Decor,"{decor,home,&,mini,scented,candles}"
309165b6-b610-4f80-aee9-1a7b5eb11fb6,Bluetooth Headphones - 2025 Edition,414.32,3.8,Kidd-Griffin,,58,Electronics,"{2025,electronics,headphones,edition,bluetooth}"
657988c9-e4d7-4448-bc12-aba842a8bc2a,Camping Stove - Large,480.6,3.6,"Gomez, Santos and Lewis",436.02,902,Outdoors,"{outdoors,camping,stove,large}"
8dbd36a2-52dd-446f-8e98-df51365fe11b,Face Roller - Red,139.1,4.3,Gibson PLC,102.52,612,Beauty & Wellness,"{wellness,red,face,&,beauty,roller}"
9f713e19-0b70-44b3-8742-1889224bbcb2,Silicone Ice Cube Tray - Blue,167.5,3.1,"Alvarado, Wu and Sanchez",,826,Home & Kitchen,"{silicone,tray,blue,home,&,kitchen,cube,ice}"
79fb579e-b79c-4ab4-9784-eccecacd9bbe,Folding Umbrella Pro,283.37,3.9,"Buck, Lowe and Carpenter",214.53,662,Outdoors,"{umbrella,folding,pro,outdoors}"
c45bba5c-99e4-4937-a284-c4a1e2f9ca2b,Travel Neck Pillow - Compact,393.92,2.6,"Kline, Brown and Carter",299.98,966,Travel,"{travel,compact,pillow,neck}"
7cc2379d-0cd1-425e-ac83-cfaed4942d80,Pocket Notebook - Compact,362.5,2.1,"Lin, Holmes and Barton",333.43,750,Office,"{notebook,compact,pocket,office}"
c4998e73-61dc-4d7a-a0ac-6b965b26be02,Portable Picnic Blanket - Large,177.49,5.0,"Garcia, Smith and Williamson",160.77,154,Outdoors,"{picnic,outdoors,blanket,large,portable}"
5a126735-1763-421f-b5d4-417b82a148ad,Windproof Lighter Max,343.94,2.4,"Bryant, Smith and Burnett",,215,Outdoors,"{lighter,windproof,outdoors,max}"
ba3979d5-a6c7-4583-913b-4de853744881,Bathroom Scale Pro,24.7,4.5,Yoder and Sons,,84,Health,"{bathroom,pro,health,scale}"
8b75a178-9905-4c6e-a979-6bd1465b1d81,Travel Toiletry Bag v2,265.21,1.6,"Hall, Wiggins and Miller",193.94,927,Travel,"{bag,travel,toiletry,v2}"
9161243a-9348-477d-b987-674a054fb171,Reusable Grocery Bags - Black,93.24,4.0,Chapman-Ellison,,108,Eco-Friendly,"{grocery,bags,reusable,black,eco-friendly}"
a126e35f-a9a9-4cbd-9dfe-58388ced64be,Customizable Keychain - Black,376.19,3.5,"Mckinney, Mcbride and Lopez",341.83,811,Accessories,"{keychain,black,accessories,customizable}"
de3381a0-0949-4c12-8355-130e95bcc6eb,DIY Candle Making Kit with Case,315.61,2.8,English-Long,245.63,668,Crafts,"{crafts,diy,candle,case,making,kit,with}"
51529d8d-72fb-4362-870d-f10c32b56489,Stainless Steel Knife Set Max,78.99,1.6,Holmes Ltd,,746,Home & Kitchen,"{knife,steel,set,stainless,home,&,kitchen,max}"
831389f6-3a7b-458d-b9e6-12132bad1a23,Digital Kitchen Scale - Black,64.86,4.4,"Collins, Hartman and Smith",51.28,656,Home & Kitchen,"{scale,digital,black,kitchen,home,&}"
17591fdf-b6fc-4187-a9d9-cac618e3b8ff,HD Monitor v2,364.83,2.7,Barton-Vega,309.14,264,Electronics,"{monitor,hd,electronics,v2}"
ec2cbbf9-bcf0-435e-b7a0-aa521b4cdb70,Resistance Bands Set Max,103.49,4.5,Walker Inc,78.33,906,Fitness,"{resistance,set,bands,fitness,max}"
aa4331c1-016b-4d6a-9368-b53b98518cbc,Fabric Shaver with Case,235.4,3.6,Adams-Brooks,194.64,8,Home & Kitchen,"{shaver,fabric,case,home,&,kitchen,with}"
d035ecf2-785d-42cc-9d29-cbb677de873f,Face Roller - Compact,79.96,4.5,Pineda-Carter,,859,Beauty & Wellness,"{wellness,face,compact,&,beauty,roller}"
43ce9744-7c6d-4067-9cbf-cde2eca72cec,Webcam - Blue,125.52,4.3,Vaughn and Sons,108.09,994,Electronics,"{blue,electronics,webcam}"
fcfadac6-e77d-485b-93a4-19fe0651a1c1,Wool Beanie - Large,461.68,4.7,Johnson Group,355.03,77,Fashion,"{beanie,wool,fashion,large}"
8b0e5f35-aaee-4b0e-ad5a-ad00f61c54a2,Kids’ Art Supplies - 2025 Edition,89.65,4.2,"Sandoval, Johnson and Phelps",84.37,87,Toys,"{supplies,art,2025,toys,edition,kids’}"
8858a76e-761b-41b8-8349-14ffb3ffc79f,Silicone Ice Cube Tray - Red,116.97,1.6,Watkins Ltd,96.43,109,Home & Kitchen,"{silicone,red,tray,home,&,kitchen,cube,ice}"
e311a847-2fb5-417c-b67d-1bb8dd952aee,Essential Oil Set Max,387.0,4.3,"Brown, Ryan and Singleton",,635,Beauty & Wellness,"{wellness,set,essential,oil,&,beauty,max}"
de83adc5-fea3-4950-a937-356a0c4b199c,Laptop Stand - Blue,425.71,4.8,Yu LLC,350.8,800,Office,"{blue,office,laptop,stand}"
8d57a77e-48be-4e3a-91f8-8db3ebcdedf6,Coloring Book for Adults - White,48.56,3.0,Daniel-Galvan,38.39,448,Books,"{coloring,books,book,white,for,adults}"
8919e1ec-a888-4e08-8c2f-58f6c84ef4a4,Bluetooth Key Finder - White,301.32,1.9,"Lucas, Cantrell and Burns",277.91,71,Electronics,"{key,finder,electronics,white,bluetooth}"
